a,b,c,d
Monument slippers,Tomsk,Russia,"Monuments, sculptures, memorials"
Monument to Don Cossack Ermak,Kachalin,Russia,"Monuments, sculptures, memorials"
Monument of Friendship of the Russian and Armenian peoples,Vologda,Russia,"Monuments, sculptures, memorials"
Monument the railroad Primorye,Vladivostok,Russia,monuments Railways
Monument to the victims of Beslan,Vladikavkaz,Russia,"Monuments, sculptures, memorials"
Monument to victims of the Chernobyl accident,Bryansk,Russia,"Monuments, sculptures, memorials"
Monument to victims of genocide and deportation of the Crimean Tatars deportation,May Day,Russia,"Monuments, sculptures, memorials"
Monument to victims of the intervention,Murmansk,Russia,"Monuments, sculptures, memorials"
Monument to victims of political repression,Permian,Russia,"Monuments, sculptures, memorials"
Monument to victims of political repression,Permian,Russia,"Monuments, sculptures, memorials"
Monument to victims of political repression,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument to victims of political repression,Murmansk,Russia,"Monuments, sculptures, memorials"
Monument to victims of political repression,Abakan,Russia,"Monuments, sculptures, memorials"
Monument to victims of political repression,Omsk,Russia,"Monuments, sculptures, memorials"
Monument to victims of political repression,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument to victims of political repression Stone of Tears and crying,Solikamsk,Russia,"Monuments, sculptures, memorials"
Monument to victims of radiation accidents and catastrophes,Abakan,Russia,"Monuments, sculptures, memorials"
Monument to victims of the Stalinist genocide,Elista,Russia,"Monuments, sculptures, memorials"
Monument to victims of the totalitarian regime Solovetsky Stone,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to victims of Nazi camps,Khabarovsk,Russia,military glory
Monument military residents of Arkhangelsk,Arkhangelsk,Russia,"Monuments, sculptures, memorials"
Monument to the wives of the Decembrists,Irkutsk,Russia,"Monuments, sculptures, memorials"
monument hare,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument to defenders of Tula,Tula,Russia,military glory
The monument to the defenders of the city from the tractor grateful,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument to defenders of the atom,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument countrymen who fell in the Great Patriotic War of 1941-1945.,Yurtsovo,Russia,"Monuments, sculptures, memorials"
Monument countrymen who fell in battles for the Motherland in the Great Patriotic War of 1941-1945.,Savvino,Russia,"Monuments, sculptures, memorials"
Monument architect Fyodor The horse,Smolensk,Russia,"Monuments, sculptures, memorials"
Monument to the inventor bike Efim Artamonov,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument to the inventor of television Vladimir Zworykin,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Emperor Peter I and his associate Alexander Menshikov,"Chaplygin,",Russia,"Monuments, sculptures, memorials"
Monument to Empress Catherine II,Krasnodar,Russia,"Monuments, sculptures, memorials"
Monument to Empress Elizabeth,Yoshkar-Ola,Russia,"Monuments, sculptures, memorials"
Monument to Empress Elizabeth,Baltiysk,Russia,"Monuments, sculptures, memorials"
Monument to Empress Maria Alexandrovna,Mariinsky,Russia,"Monuments, sculptures, memorials"
monument alien,IPB,Russia,"Monuments, sculptures, memorials"
Monument to the 80th anniversary of the Chu tract,Biisk,Russia,"Monuments, sculptures, memorials"
Monument Kamchatka guerrillas,Petropavlovsk-Kamchatsky,Russia,"Monuments, sculptures, memorials"
monument moviegoers,Irkutsk,Russia,"Monuments, sculptures, memorials"
Monument Chinese volunteers,Vladikavkaz,Russia,"Monuments, sculptures, memorials"
monument to the keyboard,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
clowns monument Nikulin and M. Shuydina,Kursk,Russia,"Monuments, sculptures, memorials"
Monument to Princess Olga in Riga,Pskov,Russia,"Monuments, sculptures, memorials"
Monument to Prince Vladimir,Astrakhan,Russia,"Monuments, sculptures, memorials"
Monument Prince George Vsevolodovich and St Simon Suzdal,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to Prince Zasyekin,Samara,Russia,"Monuments, sculptures, memorials"
Monument Donut Prince,May Day,Russia,"Monuments, sculptures, memorials"
Monument to Prince Tundutovu,Elista,Russia,"Monuments, sculptures, memorials"
Monument to Prince Yuri Vladimirovich Dolgoruky,Dolgorukov,Russia,"Monuments, sculptures, memorials"
monument goat,Uryupinsk,Russia,"Monuments, sculptures, memorials"
Monument Commander Ryazanov,Krasnoyarsk,Russia,"Monuments, sculptures, memorials"
"Monument to the commander of the 50th Army, Major-General AN Ermakov",Tula,Russia,"Monuments, sculptures, memorials"
monument mosquito,Noyabrsk,Russia,"Monuments, sculptures, memorials"
Monument to composer hipped and Agapkin,Tambov,Russia,"Monuments, sculptures, memorials"
Monument to Komsomol members - defenders of Stalingrad,Volgograd,Russia,military glory
monument Conca,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument horse Aesir-Kara,Ak-Erik,Russia,"Monuments, sculptures, memorials"
Monument shipbuilders Solombalskaya shipyard,Arkhangelsk,Russia,"Monuments, sculptures, memorials"
Памятник кораблю quot;Полтаваquot;,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Sightseeing коробейнику,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument to Queen Luise,Sovetsk,Russia,"Monuments, sculptures, memorials"
Monument spacecraft Energia-Buran,Samara,Russia,"Monuments, sculptures, memorials"
Monument Elisha cat and the cat Vasilisa,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument cat Totti,Roshchino,Russia,"Monuments, sculptures, memorials"
Monument cat scientist,Chita,Russia,"Monuments, sculptures, memorials"
monument to the peasant,Terbunı,Russia,"Monuments, sculptures, memorials"
Monument to the Kuban Cossacks,Brinkovskaya,Russia,"Monuments, sculptures, memorials"
"Monument laboratory mouse, astringent DNA strand",Novosibirsk,Russia,"Monuments, sculptures, memorials"
Monument of the legendary divisional gun ZIS-3,Chagoda,Russia,military glory
Monument pilots maykopchane,Maikop,Russia,"Monuments, sculptures, memorials"
Monument pilot IA Dokukina,Zverevo,Russia,"Monuments, sculptures, memorials"
Monument to Soviet cosmonaut Pavel Belyaev,Vologda,Russia,"Monuments, sculptures, memorials"
Monument to liquidators of the Chernobyl accident,Pinery,Russia,"Monuments, sculptures, memorials"
Monument to liquidators of the Chernobyl accident,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
monument lemon,Pavlovo,Russia,"Monuments, sculptures, memorials"
Monument literary images brothers Zhemchuzhnikov - Prutkov,Elm,Russia,"Monuments, sculptures, memorials"
Turbine blade Monument,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
monument of horses,Mramorskoe,Russia,"Monuments, sculptures, memorials"
monument curiosity,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument frog-traveler,Tomsk,Russia,"Monuments, sculptures, memorials"
"Monument pilots, the Far East, who died in the Great Patriotic War and local military conflicts",Khabarovsk,Russia,military glory
monument mammoth,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument Mari actor Yvan Kyrlya,Yoshkar-Ola,Russia,"Monuments, sculptures, memorials"
Monument to Marshal Georgy Zhukov,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Marshal Georgy Zhukov,Armavir,Russia,"Monuments, sculptures, memorials"
Monument to medical workers,Voronezh,Russia,"Monuments, sculptures, memorials"
monument metallurgists,Cherepovets,Russia,"Monuments, sculptures, memorials"
monument metallurgists,Nizhny Tagil,Russia,"Monuments, sculptures, memorials"
Monument mineral water,Hot key,Russia,"Monuments, sculptures, memorials"
Monument navigator Vitus Bering,Petropavlovsk-Kamchatsky,Russia,"Monuments, sculptures, memorials"
"Monument to seafarers, explorers and discoverers of new lands",Totma,Russia,"Monuments, sculptures, memorials"
monument to the sailors,Uryupinsk,Russia,"Monuments, sculptures, memorials"
Monument merchant seamen,Vladivostok,Russia,"Monuments, sculptures, memorials"
Памятник морякам волжской флотилии quot;Маякquot;,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument to the sailors-amurtsam who died during the Great Patriotic War,Khabarovsk,Russia,military glory
Monument to the sailors-katernikam,Vladivostok,Russia,military glory
Monument to the sailors on luck,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to the sailors-romance,Vladivostok,Russia,"Monuments, sculptures, memorials"
The monument at the grave of General Anton Antonovich Skalon,Smolensk,Russia,military glory
Monument to Peoples Artist of Ossetia Maharbek Tuganova,Vladikavkaz,Russia,"Monuments, sculptures, memorials"
Monument to the unknown musician,Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Monument novorossiytsy who died in an undeclared war,Novorossiysk,Russia,"Monuments, sculptures, memorials"
Monument of deer-vehicle battalions,Naryan-Mar,Russia,"Monuments, sculptures, memorials"
monument militias,Moscow,Russia,"Monuments, sculptures, memorials"
Monument Ossetian poet Constantine (Costa) Khetagurovo,Vladikavkaz,Russia,"Monuments, sculptures, memorials"
Monument to the founder of Vologda,Vologda,Russia,"Monuments, sculptures, memorials"
Monument to the founder of the city - the prince Yaroslav the Wise,Yaroslavl,Russia,"Monuments, sculptures, memorials"
Monument to the city founder Korocha Andrey V. Buturlin,Korocha,Russia,"Monuments, sculptures, memorials"
Monument to the founder of the city of Nazran,Nazran,Russia,"Monuments, sculptures, memorials"
Monument to the founders of Blagoveshchensk,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Monument to the founders of Ekaterinburg VN Tatishchev and VI de Gennin,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument to the founders of Krasnoyarsk,Krasnoyarsk,Russia,"Monuments, sculptures, memorials"
Monument to the founders of Cherepovets,Cherepovets,Russia,"Monuments, sculptures, memorials"
Monument to the founders of the city,Surgut,Russia,"Monuments, sculptures, memorials"
Monument to the founders of the city of Klintsy,Klintsy,Russia,"Monuments, sculptures, memorials"
"National Monument to the Forefathers Novorossiysk: Raevskii, Lazarus and Serebryakov",Novorossiysk,Russia,"Monuments, sculptures, memorials"
monument officer,Tambov,Russia,"Monuments, sculptures, memorials"
monument locomotive,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument locomotive L-0088,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument locomotive CO 18-3100,Vologda,Russia,"Monuments, sculptures, memorials"
Monument partisans,Vladimiro-Aleksandrovskoye,Russia,"Monuments, sculptures, memorials"
Monument to Patriarch Hermogenes,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Patriarch Nikon,Saransk,Russia,"Monuments, sculptures, memorials"
Monument to singer and composer Vadim Kozin,Magadan,Russia,"Monuments, sculptures, memorials"
Monument to the first teacher,Saratov,Russia,"Monuments, sculptures, memorials"
monument to first graders,Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Monument to the first city cinema,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Monument to the first railway bridge over the Ob,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Monument to the first resident of Vladivostok,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to the first locomotive,New Urengoy,Russia,"Monuments, sculptures, memorials"
Monument first date,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Monument to the first Soviet dump truck,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument to the first electric Altai region VL60K-649,Novoaltaisk,Russia,"Monuments, sculptures, memorials"
Monument gold discoverer Yerofey Markov,Berezovsky,Russia,"Monuments, sculptures, memorials"
Monument to the Discoveries West Siberian oil,Nyagan,Russia,"Monuments, sculptures, memorials"
Monument to pioneer Ivan Fyodorov,Moscow,Russia,"Monuments, sculptures, memorials"
monument to pioneers,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
monument to pioneers,Gubkinskii,Russia,"Monuments, sculptures, memorials"
Monument land pioneers Ugra Crystal,Khanty-Mansiysk,Russia,"Monuments, sculptures, memorials"
Monument to the pioneers of the Tomsk oil,Strezhevoy,Russia,"Monuments, sculptures, memorials"
"Monument pioneers, builders of BAM",Severobaikalsk,Russia,"Monuments, sculptures, memorials"
Monument primate Innocent,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument to the Komsomol Tagil,Nizhny Tagil,Russia,"Monuments, sculptures, memorials"
Monument to the Russian teachers,red,Russia,"Monuments, sculptures, memorials"
Monument to the tractor drivers,Lyubytino,Russia,"Monuments, sculptures, memorials"
displaced Monument to the Altai from the grateful descendants,Barnaul,Russia,"Monuments, sculptures, memorials"
monument brewer,Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Monument to a brewer (Brewers Alley),Tomsk,Russia,"Monuments, sculptures, memorials"
Pioneer Monument diving in the Pacific,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to the writer Joseph Conrad,Vologda,Russia,"Monuments, sculptures, memorials"
Monument to the Fallen IL-2,mirror,Russia,military glory
Monument to fallen airmen Arctic,Taz,Russia,"Monuments, sculptures, memorials"
Monument to the Fallen in the Great Patriotic War,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Monument to the Fallen in the Great Patriotic War,upper Shkaft,Russia,military glory
Monument to the Fallen in local wars,Izhevsk,Russia,"Monuments, sculptures, memorials"
Monument to perished employees of the Ministry of Interior,Abakan,Russia,military glory
Monument frontier guard with a dog,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Monument feat pilot Vasily Staroschuka,Novosibirsk,Russia,"Monuments, sculptures, memorials"
monument firefighter,Noyabrsk,Russia,"Monuments, sculptures, memorials"
monument fire,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to the elderly,Podgorenskiy,Russia,"Monuments, sculptures, memorials"
Monument commander Bagration,Moscow,Russia,"Monuments, sculptures, memorials"
Monument last alphabetically Europe,Syktyvkar,Russia,"Monuments, sculptures, memorials"
Monument to victims of the faith,Shuya,Russia,"Monuments, sculptures, memorials"
Monument stowed Ataman of the Don-Yakov Baklanov,Volgodonsk,Russia,military glory
Monument to the poet Margarita Agashin,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument to the poet LI Oshanina,Rybinsk,Russia,"Monuments, sculptures, memorials"
Monument to the poet - hero of the Soviet Union Musa Jalil,Nizhnevartovsk,Russia,"Monuments, sculptures, memorials"
Monument songwriter MV Isakovskogo,Smolensk,Russia,"Monuments, sculptures, memorials"
Monument Reverend Cornelius of the Pskov-Caves,Pechora,Russia,"Monuments, sculptures, memorials"
Monument to St. Seraphim of Sarov,Izhevsk,Russia,"Monuments, sculptures, memorials"
Monument St. Tryphon Vyatka,Kirov,Russia,"Monuments, sculptures, memorials"
Venerable Martyr Monument Ambrose,ABCEDIONS,Russia,"Monuments, sculptures, memorials"
Monument pryschepke,Belokurikha,Russia,"Monuments, sculptures, memorials"
Monument to the seller and the buyer,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument to the seller and the buyer,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument Avvakum,Grigorovo,Russia,"Monuments, sculptures, memorials"
"Monument Pskovians-naval commanders, navigators and builders of the Russian Navy",Pskov,Russia,"Monuments, sculptures, memorials"
Monument Pskov paratroopers 6th company,black,Russia,military glory
Monument bird Sirin,Novgorod,Russia,"Monuments, sculptures, memorials"
Monument Pushkar Vasily,St. Petersburg,Russia,"Monuments, sculptures, memorials"
monument five kopecks,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument worker reporter G. Bykov,Nizhny Tagil,Russia,"Monuments, sculptures, memorials"
Monument VSW employees who died during the Great Patriotic War,Nizhny Tagil,Russia,military glory
Monument prosecutors,Kursk,Russia,"Monuments, sculptures, memorials"
"Monument rocket and anti-aircraft guns, Katyusha",mine,Russia,"Monuments, sculptures, memorials"
Monument to the revolutionaries on the island named Zalit,Island-Zalit,Russia,"Monuments, sculptures, memorials"
